text,label
引假消息屈 警 霸物資  警員 佐級協會批頭條新聞、 郭 家 麒 失實  pic.twitter.com/aB78aou8Be,0
請訂閱 熱門經常被youtube打壓 競選上屆區議會議員( 肥仔傑 )頻道  https://www. youtube.com/channel/UCIIwL X8REayuH-sNLf8c-3A   … 肥仔傑後備頻道  https://www. youtube.com/channel/UCglXm RHhFOYwtqWcaJHxTsw?view_as=subscriber   …  香港 警察 反擊「懦夫」 郭 家 麒  執法者拒學黃醫護︰ 我哋唔會罷工 唔令市民失望  這就是香港 警察 ！  https:// youtu.be/WGBkNmFP68U    來自 @YouTube,0
"公民黨立法會議員 郭 家 麒 在網上進行直播，形容 警察 為「 黑 警 」，是「貪生怕死」及「鼠輩懦夫」。 警方 今日發信予 郭 家 麒 ，指他對 警方 作出不失指控，有誤導市民之嫌，完全漠視 警員 的抗疫工作和努力， 警方 表示非常失望及遺憾。

 https://www. facebook.com/71047679570461 0/posts/2860588127360122/?d=n   … pic.twitter.com/OPvahA7izZ",0
"郭 家 麒 FB直播批囤積口罩  警方 斥失實、誤導
 https://www. litenews.hk/?p=85806   pic.twitter.com/91D7Yl6lk4",0
引假消息屈 警 霸物資  警員 佐級協會批頭條新聞、 郭 家 麒 失實  pic.twitter.com/WAl4MvDhW9,0
引假消息屈 警 霸物資  警員 佐級協會批頭條新聞、 郭 家 麒 失實  pic.twitter.com/RligHEtfQt,0
政治揭露#239b 黃屍想森美父母死: 反對設檢疫中心阻回 港 / 港 台 郭 家 麒 老屈 警方 霸佔防護衣/罷睇 黑 醫係TVB 9UP 20200217  https:// youtu.be/6Z6z0Z5ADhI    來自 @YouTube,0
【短片】【焦點．真相】 港 台、王喜、 郭 家 麒 以流言一再抹黑 警 隊 ，被踢爆失實還死不認錯？  https:// youtu.be/NSpq9gHxX2Y    via @YouTube,0
政治揭露#239b 黃屍想森美父母死: 反對設檢疫中心阻回 港 / 港 台 郭 家 麒 老屈 警方 霸佔防護衣/罷睇 黑 醫係TVB 9UP 20200217  https:// youtu.be/6Z6z0Z5ADhI    來自 @YouTube,0
# 武漢肺炎  #武漢疫情  #中國加油  #武漢加油  #全民自救  #全民互救   武漢肺炎牽動着全國人民嘅神經。喺香港，「正義聯盟」促 警 控告香港電台、毒蘋果造謠、反對派議員 郭 家 麒 抹黑 港 警 等事件嘅發生，強烈反映了若輿論被別有用心者利用，後果不堪設想。希望香港嚴懲社會「輿論公器」，還聲於民， 港 警 加油！  pic.twitter.com/YCWpH6ssM7,0
"【引假消息屈 警 霸物資  警員 佐級協會批頭條新聞、 郭 家 麒 失實】
 
新型冠狀病毒疫情持續， 警 隊 被質疑囤積，並獲分發的口罩及其他防護用品遠超其他其他紀律部隊。
 
 警 隊員佐級協會17日發聲明，批評日前香港電台在其製作節目《頭條新聞》的“驚方訊息”環節中“抹黑 警方 的抗疫工作”。  pic.twitter.com/US2osNTGfN",0
【短片】【抹黑 警 隊 太過分】 港 台《頭條新聞》王喜借防疫裝備​誣衊 警方 、 郭 家 麒 直播顛倒是非玩分化！ 警 拍片反擊指造假：用心邪惡、煽動做假才是懦夫！​  https:// youtu.be/f3Fdlu4X0GY    via @YouTube,0
2月16日晚，香港 警察 在社交媒體發表聲明表示， 警方 留意到立法會議員 郭 家 麒 於本年2月15日在網上指控 警方 沒有參與抗疫工作，卻獲發大量保護裝備，對其他部門不公。事實上， 警 隊 在抗疫期間一直緊守崗位，並積極支援其他政府部門的抗疫工作。 對於 郭 家 麒 議員罔顧事實，作出誤導及不負責任的言論，表示憤慨,0
"RTHK【團體請願促 警務 處控告 港 台及 郭 家 麒 中傷 警 隊 】

正義聯盟到 警察 總部請願，指香港電台《頭條新聞》及立法會議員 郭 家 麒 抹黑 警 隊 ，促請 警務 處處長控告 港 台誹謗和中傷 警 隊 。

正義聯盟主席李偲嫣說，《頭條新聞》「驚方訊息」的環節中，侮辱嘲諷 警 隊 ，畜意破壞 警 隊 形象，要求 港 台公開道歉及刪除視頻…  pic.twitter.com/TY3UO8ueDD",0
"【被指 強迫 元旦日被捕人著 囚衣 　 警方 批評指控失實】

對於被指強迫於元旦日被捕人穿著 囚衣 ， 警方 今晚（1月5日）發聲明批評指控失實。
#hk 

全文︰ http://www. passiontimes.hk/article/01-05- 2020/58847   …",0
"【傳 港 警 “ 強迫 ”被捕人士穿 囚衣 ？實情是...】 
香港 警方 5日晚在社交媒體發文稱，#對於網上有人誣衊警方於元旦日強迫被捕人穿著囚犯裝束 ， 警方 必須澄清，在調查案件的時候，因應案件性質，#警方或會檢取被捕人的衣物作調查或化驗之用 。 警方 強調，有關 警方 強迫 被捕人穿著 囚衣 的指控實屬失實。  pic.twitter.com/VqsNTplxnl",0
